employer_id,employer_name,employer_url
1806909,Группа компаний Kravt hotels & homes,https://hh.ru/employer/1806909
3536233,Группа компаний SHISHKIN,https://hh.ru/employer/3536233
1143452,Группа компаний ЕКС,https://hh.ru/employer/1143452
4598393,Группа компаний НВМ,https://hh.ru/employer/4598393
886923,Группа компаний СКС,https://hh.ru/employer/886923
224317,Группа компаний ЭРКАФАРМ,https://hh.ru/employer/224317
1384489,Гуру сервис,https://hh.ru/employer/1384489
4280370,Гэлакси,https://hh.ru/employer/4280370
11940780,Гюзель Шейлер,https://hh.ru/employer/11940780
9887020,ДАКОМ М,https://hh.ru/employer/9887020
651612,ДАЛКОС,https://hh.ru/employer/651612
1689259,ДЖЕЙКЕТ РАБОТА,https://hh.ru/employer/1689259
40493,ДОБРОЦЕН,https://hh.ru/employer/40493
1340780,ДОСТАЕВСКИЙ,https://hh.ru/employer/1340780
12393558,Девяткова Екатерина Андреевна,https://hh.ru/employer/12393558
29413,Деловые Линии,https://hh.ru/employer/29413
2114,Деловые Решения и Технологии (ДРТ),https://hh.ru/employer/2114
1010480,Денвик,https://hh.ru/employer/1010480
10223480,Дениз Ричардс,https://hh.ru/employer/10223480
1068856,Департамент персонала,https://hh.ru/employer/1068856
8888090,Дети на паркете,https://hh.ru/employer/8888090
4880,Детский мир,https://hh.ru/employer/4880
2406,ДжамильКо,https://hh.ru/employer/2406
1877031,Ди Эс Эй,https://hh.ru/employer/1877031
10220936,Диалфи,https://hh.ru/employer/10220936
12008136,Диана Федорова,https://hh.ru/employer/12008136
187446,Диета-18,https://hh.ru/employer/187446
4914081,Диплей,https://hh.ru/employer/4914081
1012479,Дирекция театрально-зрелищных касс,https://hh.ru/employer/1012479
2769379,Доксинбокс,https://hh.ru/employer/2769379
11335496,Донецкое Кабельное Телевидение,https://hh.ru/employer/11335496
8936150,ДэвТим-Групп,https://hh.ru/employer/8936150
9550692,ЕДОСТАВКА,https://hh.ru/employer/9550692
1678242,Евразийская Алкогольная Группа,https://hh.ru/employer/1678242
11681638,Евразия,https://hh.ru/employer/11681638
567851,Евро Сервис,https://hh.ru/employer/567851
11672943,Единая Сервисная Платформа,https://hh.ru/employer/11672943
10280369,Ерошко Владимир Владиславович,https://hh.ru/employer/10280369
11409466,Ещанов,https://hh.ru/employer/11409466
1262661,ЖБИ ИнвестСтрой,https://hh.ru/employer/1262661
11559551,Жалюзинск,https://hh.ru/employer/11559551
1385131,Живем Дома,https://hh.ru/employer/1385131
48162,"Живика, аптечная сеть",https://hh.ru/employer/48162
1184269,ЗАВОД ГОРЭЛТЕХ,https://hh.ru/employer/1184269
10928801,За Результат,https://hh.ru/employer/10928801
1892500,Западно-Сибирское агентство воздушных сообщений,https://hh.ru/employer/1892500
670607,"Здравсервис (Здесь Аптека, Твой Доктор)",https://hh.ru/employer/670607
9634295,Зевс-Строй,https://hh.ru/employer/9634295
897219,"Зеленый сад, СПК",https://hh.ru/employer/897219
3353787,"ЗооМедик, Ветеринарная клиника",https://hh.ru/employer/3353787
10036909,Зуев Виталий Михайлович,https://hh.ru/employer/10036909
9378655,Зыкова Ольга Владимировна,https://hh.ru/employer/9378655
761892,ИНВЕНТ,https://hh.ru/employer/761892
694186,"ИНКОМСИСТЕМ, НИЦ",https://hh.ru/employer/694186
3415,ИНФОРМЗАЩИТА,https://hh.ru/employer/3415
1861323,ИР-ТЕЛЕКОМ,https://hh.ru/employer/1861323
96379,ИРВИН 2,https://hh.ru/employer/96379
112143,ИСРАТЭК,https://hh.ru/employer/112143
10051541,ИТ-Элемент29,https://hh.ru/employer/10051541
4319364,ИТКО,https://hh.ru/employer/4319364
